UserID,Full_Name,Gender,Race,Age,Age_Group,Age_Category,Clean_Email,Clean_Handle,Clean_Name,Province,Account_Status,Channel2,Channel_Category,RecordDate2,Record_Date,Month_Name,DayOfWeek,Day_Type,Record_Time,Time_Category,Duration2,Duration_Clean,Hours,Minutes,Seconds
729345,Wilburn  Mcclaine,male,white,44,Adult,35–44,Wilburn 305@mailxyz.com,@Wilburn 30,Wilburn ,Gauteng,Active,Boomerang,Kids,2016-03-20T04:41:00.000Z,2016-03-20,March,Sunday,Weekend,06:41,Morning,1899-12-31T00:01:36.000Z,00:01:36,0,1,36
733347,Lucas  Creager,male,None,34,Young Adult,25–34,Lucas 234@abcmail.com,@Lucas 23,Lucas ,North West,Active,Channel O,Music,2016-01-23T17:29:00.000Z,2016-01-23,January,Saturday,Weekend,19:29,Evening,1899-12-31T00:00:39.000Z,00:00:39,0,0,39
755058,Cory  Styer,male,white,40,Adult,35–44,Cory 101@yahoo.com,@Cory 10,Cory ,Eastern Cape,Active,Cartoon Network,Kids,2016-01-23T07:59:00.000Z,2016-01-23,January,Saturday,Weekend,09:59,Morning,1899-12-31T00:01:36.000Z,00:01:36,0,1,36
764468,Earl  Pool,male,black,34,Young Adult,25–34,Earl 421@yahoo.com,@Earl 42,Earl ,Gauteng,Active,Channel O,Music,2016-02-02T06:59:00.000Z,2016-02-02,February,Tuesday,Weekday,08:59,Morning,1899-12-31T00:02:09.000Z,00:02:09,0,2,9
771927,Lillie  Langenfeld,female,None,36,Adult,35–44,Lillie 431@yahoo.com,@Lillie 43,Lillie ,Western Cape,Active,Cartoon Network,Kids,2016-01-30T16:39:00.000Z,2016-01-30,January,Saturday,Weekend,18:39,Evening,1899-12-31T00:01:38.000Z,00:01:38,0,1,38
771978,Efren  Wigfall,male,black,23,Young Adult,18–24,Efren 131@yahoo.com,@Efren 13,Efren ,Kwazulu Natal,Active,Boomerang,Kids,2016-02-05T03:06:00.000Z,2016-02-05,February,Friday,Weekday,05:06,Morning,1899-12-31T00:00:31.000Z,00:00:31,0,0,31
772052,Stephen  Beville,male,coloured,32,Young Adult,25–34,Stephen 151@yahoo.com,@Stephen 15,Stephen ,Western Cape,Active,Supersport Live Events,Sports,2016-03-26T14:38:00.000Z,2016-03-26,March,Saturday,Weekend,16:38,Afternoon,1899-12-31T00:45:32.000Z,00:45:32,0,45,32
772276,Eli  Biggers,male,black,44,Adult,35–44,Eli 295@mailxyz.com,@Eli 29,Eli ,Eastern Cape,Active,Supersport Live Events,Sports,2016-02-02T16:51:00.000Z,2016-02-02,February,Tuesday,Weekday,18:51,Evening,1899-12-31T00:03:18.000Z,00:03:18,0,3,18
772277,Dion  Bilyeu,male,black,48,Adult,45–54,Dion 331@yahoo.com,@Dion 33,Dion ,Mpumalanga,Active,Africa Magic,Entertainment,2016-03-12T19:02:00.000Z,2016-03-12,March,Saturday,Weekend,21:02,Night,1899-12-31T00:00:06.000Z,00:00:06,0,0,6
772449,Irving  Creager,male,white,25,Young Adult,25–34,Irving 55@mailxyz.com,@Irving 5,Irving ,Gauteng,Active,Supersport Live Events,Sports,2016-01-23T15:25:00.000Z,2016-01-23,January,Saturday,Weekend,17:25,Evening,1899-12-31T00:01:32.000Z,00:01:32,0,1,32
772477,Rebekah  Paradis,female,black,35,Adult,35–44,Rebekah 322@gmail.com,@Rebekah 32,Rebekah ,Kwazulu Natal,Active,Channel O,Music,2016-02-03T18:05:00.000Z,2016-02-03,February,Wednesday,Weekday,20:05,Evening,1899-12-31T00:12:03.000Z,00:12:03,0,12,3
772529,Kip  Paradis,male,black,27,Young Adult,25–34,Kip 144@abcmail.com,@Kip 14,Kip ,Gauteng,Active,Supersport Live Events,Sports,2016-03-06T14:23:00.000Z,2016-03-06,March,Sunday,Weekend,16:23,Afternoon,1899-12-31T00:00:24.000Z,00:00:24,0,0,24
772665,Lucas  Wigfall,male,black,34,Young Adult,25–34,Lucas 235@mailxyz.com,@Lucas 23,Lucas ,Kwazulu Natal,Active,Boomerang,Kids,2016-02-03T19:26:00.000Z,2016-02-03,February,Wednesday,Weekday,21:26,Night,1899-12-31T00:04:03.000Z,00:04:03,0,4,3
772685,Lane  Gettys,male,black,36,Adult,35–44,Lane 115@mailxyz.com,@Lane 11,Lane ,Gauteng,Active,Supersport Live Events,Sports,2016-01-09T15:18:00.000Z,2016-01-09,January,Saturday,Weekend,17:18,Evening,1899-12-31T00:36:10.000Z,00:36:10,0,36,10
772983,Yong  Crotty,male,None,46,Adult,45–54,Yong 483@mail.com,@Yong 48,Yong ,Gauteng,Active,Supersport Live Events,Sports,2016-02-04T13:49:00.000Z,2016-02-04,February,Thursday,Weekday,15:49,Afternoon,1899-12-31T00:00:04.000Z,00:00:04,0,0,4
773002,Randy  Deblois,male,black,25,Young Adult,25–34,Randy 395@mailxyz.com,@Randy 39,Randy ,Gauteng,Active,Cartoon Network,Kids,2016-02-03T18:20:00.000Z,2016-02-03,February,Wednesday,Weekday,20:20,Evening,1899-12-31T00:01:47.000Z,00:01:47,0,1,47
773052,Emerson  Pool,male,coloured,49,Adult,45–54,Emerson 244@abcmail.com,@Emerson 24,Emerson ,Gauteng,Active,Supersport Live Events,Sports,2016-02-07T15:19:00.000Z,2016-02-07,February,Sunday,Weekend,17:19,Evening,1899-12-31T00:00:42.000Z,00:00:42,0,0,42
773059,Shane  Crotty,male,black,38,Adult,35–44,Shane 22@gmail.com,@Shane 2,Shane ,Mpumalanga,Active,MK,Other,2016-02-03T00:30:00.000Z,2016-02-03,February,Wednesday,Weekday,02:30,Night,1899-12-31T00:01:31.000Z,00:01:31,0,1,31
773163,Carlota  Tancredi,female,black,26,Young Adult,25–34,Carlota 241@yahoo.com,@Carlota 24,Carlota ,Western Cape,Active,ICC Cricket World Cup 2011,Sports,2016-02-28T13:26:00.000Z,2016-02-28,February,Sunday,Weekend,15:26,Afternoon,1899-12-31T00:05:00.000Z,00:05:00,0,5,0
773393,Charlie  Singer,male,white,17,Teen,Under 18,Charlie 363@mail.com,@Charlie 36,Charlie ,Western Cape,Active,Channel O,Music,2016-02-04T20:05:00.000Z,2016-02-04,February,Thursday,Weekday,22:05,Night,1899-12-31T00:01:15.000Z,00:01:15,0,1,15
773431,Roxane  Lavoie,female,indian_asian,24,Young Adult,18–24,Roxane 404@abcmail.com,@Roxane 40,Roxane ,Kwazulu Natal,Active,Boomerang,Kids,2016-01-20T15:42:00.000Z,2016-01-20,January,Wednesday,Weekday,17:42,Evening,1899-12-31T00:02:10.000Z,00:02:10,0,2,10
773504,Valentine  Paradis,male,None,51,Adult,45–54,Valentine 471@yahoo.com,@Valentine 47,Valentine ,Kwazulu Natal,Active,Supersport Live Events,Sports,2016-02-05T13:55:00.000Z,2016-02-05,February,Friday,Weekday,15:55,Afternoon,1899-12-31T00:02:24.000Z,00:02:24,0,2,24
773530,Bernardo  Sytsma,male,black,46,Adult,45–54,Bernardo 321@yahoo.com,@Bernardo 32,Bernardo ,Kwazulu Natal,Active,SuperSport Blitz,Sports,2016-01-30T07:23:00.000Z,2016-01-30,January,Saturday,Weekend,09:23,Morning,1899-12-31T00:00:16.000Z,00:00:16,0,0,16
773540,Carter  Sieren,male,coloured,34,Young Adult,25–34,Carter 33@mail.com,@Carter 3,Carter ,Western Cape,Active,Supersport Live Events,Sports,2016-01-29T18:56:00.000Z,2016-01-29,January,Friday,Weekday,20:56,Evening,1899-12-31T00:00:12.000Z,00:00:12,0,0,12
773570,Cory  Tatham,male,None,43,Adult,35–44,Cory 103@mail.com,@Cory 10,Cory ,Gauteng,Active,ICC Cricket World Cup 2011,Sports,2016-03-15T16:44:00.000Z,2016-03-15,March,Tuesday,Weekday,18:44,Evening,1899-12-31T00:02:22.000Z,00:02:22,0,2,22
778615,None None,None,None,0,Child,Under 18,Seema 484@abcmail.com,None,None,None,Active,Channel O,Music,2016-03-12T15:45:00.000Z,2016-03-12,March,Saturday,Weekend,17:45,Evening,1899-12-31T00:03:45.000Z,00:03:45,0,3,45
779471,Stefan  Biggers,male,black,28,Young Adult,25–34,Stefan 464@abcmail.com,@Stefan 46,Stefan ,Eastern Cape,Active,Boomerang,Kids,2016-02-10T06:38:00.000Z,2016-02-10,February,Wednesday,Weekday,08:38,Morning,1899-12-31T00:11:09.000Z,00:11:09,0,11,9
779656,Blanca  Slane,female,black,29,Young Adult,25–34,Blanca 403@mail.com,@Blanca 40,Blanca ,Gauteng,Active,Africa Magic,Entertainment,2016-02-08T18:28:00.000Z,2016-02-08,February,Monday,Weekday,20:28,Evening,1899-12-31T00:32:29.000Z,00:32:29,0,32,29
779980,Dee  Caves,male,coloured,46,Adult,45–54,Dee 212@gmail.com,@Dee 21,Dee ,Eastern Cape,Active,Africa Magic,Entertainment,2016-02-04T06:34:00.000Z,2016-02-04,February,Thursday,Weekday,08:34,Morning,1899-12-31T00:00:49.000Z,00:00:49,0,0,49
780483,Chas  Bilyeu,male,black,29,Young Adult,25–34,Chas 354@abcmail.com,@Chas 35,Chas ,Mpumalanga,Active,Boomerang,Kids,2016-01-18T11:29:00.000Z,2016-01-18,January,Monday,Weekday,13:29,Afternoon,1899-12-31T00:17:15.000Z,00:17:15,0,17,15
780546,Charlie  Crotty,male,black,45,Adult,45–54,Charlie 364@abcmail.com,@Charlie 36,Charlie ,Gauteng,Active,CNN,News,2016-03-25T19:56:00.000Z,2016-03-25,March,Friday,Weekday,21:56,Night,1899-12-31T00:25:09.000Z,00:25:09,0,25,9
785456,Winona  Wigfall,female,white,41,Adult,35–44,Winona 74@abcmail.com,@Winona 7,Winona ,Gauteng,Active,E! Entertainment,Entertainment,2016-02-11T10:36:00.000Z,2016-02-11,February,Thursday,Weekday,12:36,Afternoon,1899-12-31T00:01:48.000Z,00:01:48,0,1,48
786607,Kyle  Lavoie,male,coloured,45,Adult,45–54,Kyle 63@mail.com,@Kyle 6,Kyle ,Western Cape,Active,Supersport Live Events,Sports,2016-02-11T17:11:00.000Z,2016-02-11,February,Thursday,Weekday,19:11,Evening,1899-12-31T00:02:54.000Z,00:02:54,0,2,54
788744,Abel  Jacox,male,coloured,23,Young Adult,18–24,Abel 183@mail.com,@Abel 18,Abel ,Western Cape,Active,Supersport Live Events,Sports,2016-01-18T09:35:00.000Z,2016-01-18,January,Monday,Weekday,11:35,Morning,1899-12-31T00:00:52.000Z,00:00:52,0,0,52
788922,Cory  Fudge,male,coloured,52,Adult,45–54,Cory 101@yahoo.com,@Cory 10,Cory ,Western Cape,Active,ICC Cricket World Cup 2011,Sports,2016-02-27T16:06:00.000Z,2016-02-27,February,Saturday,Weekend,18:06,Evening,1899-12-31T00:01:52.000Z,00:01:52,0,1,52
789053,Williemae  Holt,female,black,34,Young Adult,25–34,Williemae 492@gmail.com,@Williemae 49,Williemae ,Gauteng,Active,Boomerang,Kids,2016-01-28T21:38:00.000Z,2016-01-28,January,Thursday,Weekday,23:38,Night,1899-12-31T00:13:51.000Z,00:13:51,0,13,51
789241,Carter  Crotty,male,coloured,25,Young Adult,25–34,Carter 34@abcmail.com,@Carter 3,Carter ,Northern Cape,Active,Channel O,Music,2016-02-21T09:20:00.000Z,2016-02-21,February,Sunday,Weekend,11:20,Morning,1899-12-31T00:00:15.000Z,00:00:15,0,0,15
789244,Chas  Sieren,male,black,19,Young Adult,18–24,Chas 352@gmail.com,@Chas 35,Chas ,North West,Active,E! Entertainment,Entertainment,2016-02-12T10:21:00.000Z,2016-02-12,February,Friday,Weekday,12:21,Afternoon,1899-12-31T00:00:10.000Z,00:00:10,0,0,10
789309,Bernardo  Fudge,male,coloured,48,Adult,45–54,Bernardo 323@mail.com,@Bernardo 32,Bernardo ,Western Cape,Active,SuperSport Blitz,Sports,2016-03-26T07:27:00.000Z,2016-03-26,March,Saturday,Weekend,09:27,Morning,1899-12-31T00:01:46.000Z,00:01:46,0,1,46
789766,Bret  Restivo,male,black,18,Young Adult,18–24,Bret 312@gmail.com,@Bret 31,Bret ,Free State,Active,Supersport Live Events,Sports,2016-02-12T12:39:00.000Z,2016-02-12,February,Friday,Weekday,14:39,Afternoon,1899-12-31T00:04:12.000Z,00:04:12,0,4,12
790440,Hollis  Hoadley,male,black,16,Teen,Under 18,Hollis 381@yahoo.com,@Hollis 38,Hollis ,Gauteng,Active,Trace TV,Music,2016-01-19T05:38:00.000Z,2016-01-19,January,Tuesday,Weekday,07:38,Morning,1899-12-31T00:01:00.000Z,00:01:00,0,1,0
790685,Brendan  Sytsma,male,black,29,Young Adult,25–34,Brendan 454@abcmail.com,@Brendan 45,Brendan ,Kwazulu Natal,Active,Africa Magic,Entertainment,2016-02-14T07:36:00.000Z,2016-02-14,February,Sunday,Weekend,09:36,Morning,1899-12-31T00:00:02.500Z,00:00:02,0,0,2
792539,Stacy  Luthy,male,white,31,Young Adult,25–34,Stacy 275@mailxyz.com,@Stacy 27,Stacy ,Free State,Active,ICC Cricket World Cup 2011,Sports,2016-02-20T10:28:00.000Z,2016-02-20,February,Saturday,Weekend,12:28,Afternoon,1899-12-31T00:01:08.000Z,00:01:08,0,1,8
793041,Earl  Mastrangelo,male,black,40,Adult,35–44,Earl 424@abcmail.com,@Earl 42,Earl ,North West,Active,Africa Magic,Entertainment,2016-02-16T11:48:00.000Z,2016-02-16,February,Tuesday,Weekday,13:48,Afternoon,1899-12-31T00:01:11.000Z,00:01:11,0,1,11
793232,Wilton  Mastrangelo,male,black,27,Young Adult,25–34,Wilton 415@mailxyz.com,@Wilton 41,Wilton ,North West,Active,Africa Magic,Entertainment,2016-02-16T07:21:00.000Z,2016-02-16,February,Tuesday,Weekday,09:21,Morning,1899-12-31T00:00:16.500Z,00:00:16,0,0,16
793883,Lloyd  Roquemore,male,coloured,32,Young Adult,25–34,Lloyd 74@abcmail.com,@Lloyd 7,Lloyd ,Northern Cape,Active,Trace TV,Music,2016-02-15T12:36:00.000Z,2016-02-15,February,Monday,Weekday,14:36,Afternoon,1899-12-31T00:04:36.000Z,00:04:36,0,4,36
794277,Art  Sieren,male,black,33,Young Adult,25–34,Art 402@gmail.com,@Art 40,Art ,Gauteng,Active,SawSee,Other,2016-02-14T19:18:00.000Z,2016-02-14,February,Sunday,Weekend,21:18,Night,1899-12-31T00:01:05.000Z,00:01:05,0,1,5
794647,Stephen  Leicht,male,white,40,Adult,35–44,Stephen 152@gmail.com,@Stephen 15,Stephen ,Gauteng,Active,Africa Magic,Entertainment,2016-01-04T16:16:00.000Z,2016-01-04,January,Monday,Weekday,18:16,Evening,1899-12-31T00:00:07.000Z,00:00:07,0,0,7
803004,None None,None,None,0,Child,Under 18,Nakita 233@mail.com,None,None,None,Active,ICC Cricket World Cup 2011,Sports,2016-03-30T17:00:00.000Z,2016-03-30,March,Wednesday,Weekday,19:00,Evening,1899-12-31T00:11:44.000Z,00:11:44,0,11,44
803159,Stefan  Deblois,male,black,30,Young Adult,25–34,Stefan 463@mail.com,@Stefan 46,Stefan ,Gauteng,Active,SuperSport Blitz,Sports,2016-03-20T12:36:00.000Z,2016-03-20,March,Sunday,Weekend,14:36,Afternoon,1899-12-31T00:00:32.000Z,00:00:32,0,0,32
803575,Donald  Mina,male,indian_asian,27,Young Adult,25–34,Donald 222@gmail.com,@Donald 22,Donald ,Eastern Cape,Active,Supersport Live Events,Sports,2016-01-23T10:34:00.000Z,2016-01-23,January,Saturday,Weekend,12:34,Afternoon,1899-12-31T00:39:16.000Z,00:39:16,0,39,16
803967,Robby  Curran,male,black,43,Adult,35–44,Robby 164@abcmail.com,@Robby 16,Robby ,Kwazulu Natal,Active,Trace TV,Music,2016-01-07T07:37:00.000Z,2016-01-07,January,Thursday,Weekday,09:37,Morning,1899-12-31T01:18:24.000Z,01:18:24,1,18,24
803990,Emilie  Deblois,female,black,27,Young Adult,25–34,Emilie 344@abcmail.com,@Emilie 34,Emilie ,Free State,Active,Africa Magic,Entertainment,2016-02-18T14:27:00.000Z,2016-02-18,February,Thursday,Weekday,16:27,Afternoon,1899-12-31T00:03:51.000Z,00:03:51,0,3,51
804168,Loyd  Fudge,male,coloured,42,Adult,35–44,Loyd 494@abcmail.com,@Loyd 49,Loyd ,Gauteng,Active,Channel O,Music,2016-02-19T17:34:00.000Z,2016-02-19,February,Friday,Weekday,19:34,Evening,1899-12-31T00:01:42.000Z,00:01:42,0,1,42
804459,Roxane  Lavoie,female,black,30,Young Adult,25–34,Roxane 303@mail.com,@Roxane 30,Roxane ,Gauteng,Active,Trace TV,Music,2016-03-06T20:21:00.000Z,2016-03-06,March,Sunday,Weekend,22:21,Night,1899-12-31T00:22:15.000Z,00:22:15,0,22,15
804936,Michel  Woolard,male,black,38,Adult,35–44,Michel 201@yahoo.com,@Michel 20,Michel ,Gauteng,Active,CNN,News,2016-02-21T07:26:00.000Z,2016-02-21,February,Sunday,Weekend,09:26,Morning,1899-12-31T00:00:34.000Z,00:00:34,0,0,34
805172,Irving  Tatham,male,black,33,Young Adult,25–34,Irving 54@abcmail.com,@Irving 5,Irving ,Gauteng,Active,SuperSport Blitz,Sports,2016-02-16T19:23:00.000Z,2016-02-16,February,Tuesday,Weekday,21:23,Night,1899-12-31T00:02:12.000Z,00:02:12,0,2,12
805296,Jacinto  Bilyeu,male,None,67,Senior,65+,Jacinto 254@abcmail.com,@Jacinto 25,Jacinto ,Gauteng,Active,SuperSport Blitz,Sports,2016-02-19T19:09:00.000Z,2016-02-19,February,Friday,Weekday,21:09,Night,1899-12-31T00:16:56.000Z,00:16:56,0,16,56
805310,Dee  Marek,male,black,39,Adult,35–44,Dee 212@gmail.com,@Dee 21,Dee ,Gauteng,Active,Boomerang,Kids,2016-03-31T19:47:00.000Z,2016-03-31,March,Thursday,Weekday,21:47,Night,1899-12-31T00:01:57.000Z,00:01:57,0,1,57
806823,Hollis  Mcculloch,male,black,37,Adult,35–44,Hollis 381@yahoo.com,@Hollis 38,Hollis ,Gauteng,Active,Africa Magic,Entertainment,2016-02-21T08:20:00.000Z,2016-02-21,February,Sunday,Weekend,10:20,Morning,1899-12-31T00:00:25.500Z,00:00:25,0,0,25
808923,Art  Nicholls,male,other,23,Young Adult,18–24,Art 405@mailxyz.com,@Art 40,Art ,Eastern Cape,Active,Trace TV,Music,2016-02-17T18:45:00.000Z,2016-02-17,February,Wednesday,Weekday,20:45,Evening,1899-12-31T00:13:21.000Z,00:13:21,0,13,21
808984,Len  Hier,male,coloured,42,Adult,35–44,Len 441@yahoo.com,@Len 44,Len ,Western Cape,Active,kykNET,Other,2016-02-19T15:58:00.000Z,2016-02-19,February,Friday,Weekday,17:58,Evening,1899-12-31T00:01:57.000Z,00:01:57,0,1,57
809079,Filiberto  Lavoie,male,black,30,Young Adult,25–34,Filiberto 43@mail.com,@Filiberto 4,Filiberto ,Mpumalanga,Active,SuperSport Blitz,Sports,2016-02-21T17:22:00.000Z,2016-02-21,February,Sunday,Weekend,19:22,Evening,1899-12-31T00:00:42.000Z,00:00:42,0,0,42
809148,Efren  Sytsma,male,indian_asian,35,Adult,35–44,Efren 132@gmail.com,@Efren 13,Efren ,Limpopo,Active,ICC Cricket World Cup 2011,Sports,2016-02-27T10:40:00.000Z,2016-02-27,February,Saturday,Weekend,12:40,Afternoon,1899-12-31T00:43:22.000Z,00:43:22,0,43,22
809231,Kip  Leicht,male,black,45,Adult,45–54,Kip 145@mailxyz.com,@Kip 14,Kip ,Gauteng,Active,E! Entertainment,Entertainment,2016-03-30T15:57:00.000Z,2016-03-30,March,Wednesday,Weekday,17:57,Evening,1899-12-31T00:00:26.000Z,00:00:26,0,0,26
809284,Shane  Luthy,male,white,32,Young Adult,25–34,Shane 24@abcmail.com,@Shane 2,Shane ,Western Cape,Active,ICC Cricket World Cup 2011,Sports,2016-02-25T14:18:00.000Z,2016-02-25,February,Thursday,Weekday,16:18,Afternoon,1899-12-31T00:00:14.000Z,00:00:14,0,0,14
809286,Robby  Roquemore,male,white,35,Adult,35–44,Robby 164@abcmail.com,@Robby 16,Robby ,Mpumalanga,Active,SawSee,Other,2016-03-06T07:32:00.000Z,2016-03-06,March,Sunday,Weekend,09:32,Morning,1899-12-31T00:14:05.000Z,00:14:05,0,14,5
809317,Shane  Mccown,male,None,29,Young Adult,25–34,Shane 23@mail.com,@Shane 2,Shane ,Western Cape,Active,M-Net,Entertainment,2016-02-19T20:25:00.000Z,2016-02-19,February,Friday,Weekday,22:25,Night,1899-12-31T00:00:49.000Z,00:00:49,0,0,49
809331,Brendan  Nicholls,male,indian_asian,49,Adult,45–54,Brendan 452@gmail.com,@Brendan 45,Brendan ,Western Cape,Active,SuperSport Blitz,Sports,2016-02-13T23:43:00.000Z,2016-02-14,February,Sunday,Weekend,01:43,Night,1899-12-31T00:11:06.000Z,00:11:06,0,11,6
809380,Donald  Leicht,male,white,32,Young Adult,25–34,Donald 221@yahoo.com,@Donald 22,Donald ,Free State,Active,ICC Cricket World Cup 2011,Sports,2016-03-15T13:55:00.000Z,2016-03-15,March,Tuesday,Weekday,15:55,Afternoon,1899-12-31T00:45:44.000Z,00:45:44,0,45,44
